Occupation,Info On that,Income,Trends Over Years
Systems Security Administrator,Info On Systems Security Administrator,13000,"1,5,3,14,22"
Business Systems Analyst,Info On Business Systems Analyst,14000,"2,7,3,8,10.2"
Software Systems Engineer,Info On Software Systems Engineer,15000,"3,9,1,10,20"
Database Developer,Info On Database Developer,12000,"8,7,3,5,10"
Database Developer,Info On Database Developer,13000,"2,8,4,17,19"
Business Systems Analyst,Info On Business Systems Analyst,14000,"5,6,7,19.6,22"
CRM Technical Developer,Info On CRM Technical Developer,15000,"1,5,3,14,22"
Mobile Applications Developer,Info On 'Mobile Applications Developer,12000,"2,7,3,8,10"
UX Designer,Info On UX Designer,14000,"3,9,1,10,20"
CRM Technical Developer,Info On CRM Technical Developer,11000,"8,7,3.4,5,9"
Quality Assurance Associate,Info On Quality Assurance Associate,13000,"2,8,4,17,19"
Web Developer,Info On Web Developer,14000,"5,6,7,19,22"
